service,starter_price_inr,standard_price_inr,advanced_price_inr,monthly_maintenance_inr,best_target_customer,delivery_time_days
Excel cleanup automation,2000,5000,8000,1000,small traders and college departments,1-2
PDF report generator,5000,12000,20000,2000,colleges rental/reporting businesses,2-4
Invoice or quote generator,5000,15000,25000,2000,printers interiors hardware shops,2-5
Lead tracker CRM,8000,18000,35000,3000,service businesses and freelancers,3-7
Payment follow-up dashboard,10000,22000,40000,3000,wholesalers and hardware stores,4-8
Inventory dashboard,15000,35000,60000,5000,hardware textile packaging shops,5-10
Attendance tracker,8000,20000,35000,2500,schools colleges factories,3-7
Order status board,15000,35000,60000,5000,printing textile logistics businesses,5-10
WhatsApp follow-up helper,8000,18000,30000,4000,clinics retail services,3-7
Document extraction workflow,15000,40000,75000,8000,logistics finance admin-heavy teams,5-12
GST/billing support dashboard,15000,35000,60000,5000,traders and small service firms,5-12
