"period","month_number","industry_focus","planned_real_person_roles","source_target","conversation_target","workflow_case_target","correction_target","quantified_pain_target","opportunity_test_target","maximum_score","current_score","evidence_state","status","last_verified"
"2026-07","0","Cross-industry baseline","None","3","0","0","0","0","0","58","5","Desk-only","Complete","2026-07-12"
"2026-08","1","Printing quote to job","Owner or estimator plus production user","1","2","1","5","1","1","58","0","Not started","Planned","2026-07-12"
"2026-09","2","Printing production to cash","Estimator dispatch or accounts and second operator","1","2","2","5","1","1","58","0","Not started","Planned","2026-07-12"
"2026-10","3","Logistics dispatch","Dispatcher and driver","1","2","3","5","1","1","58","0","Not started","Planned","2026-07-12"
"2026-11","4","Logistics POD to billing","Billing operations and delivery user","1","2","3","5","1","1","58","0","Not started","Planned","2026-07-12"
"2026-12","5","Garment style readiness","Merchandiser and store or production user","1","2","1","5","1","1","58","0","Not started","Planned","2026-07-12"
"2027-01","6","Garment quality to shipment","Quality production and packing user","1","2","2","5","1","1","58","0","Not started","Planned","2026-07-12"
"2027-02","7","SME manufacturing order readiness","Planner owner and stores or production user","1","2","3","5","1","1","58","0","Not started","Planned","2026-07-12"
"2027-03","8","SME manufacturing quality and delay","Quality dispatch and second comparable firm","1","2","2","5","1","1","58","0","Not started","Planned","2026-07-12"
"2027-04","9","Retail receiving to shelf","Buyer owner and receiver or store user","1","2","20 SKU traces","5","1","1","58","0","Not started","Planned","2026-07-12"
"2027-05","10","Wholesale order to collection","Sales picking delivery and accounts user","1","2","3","5","1","1","58","0","Not started","Planned","2026-07-12"
"2027-06","11","Cross-industry pattern test","Two prior operators","1","2","2","5","1","1","58","0","Not started","Planned","2026-07-12"
"2027-07","12","Synthesis and ethical pilot choice","One operator for each top opportunity","1","2","2","5","2","2","58","0","Not started","Planned","2026-07-12"
