"interview_id","industry_id","planned_month","target_role","subsegment","research_objective","status","consent_status","actual_date","evidence_level","assumptions_confirmed","assumptions_contradicted","workflow_cases_reconstructed","public_summary","next_validation_step","last_verified"
"TA-INT-001","TA-IND-01","2026-08","Owner or estimator","Small commercial printing","Reconstruct quote-to-job and identify quote-critical inputs","Planned","Not requested","","None","0","0","0","No interview conducted; placeholder contains no identity or private notes","Request one 15-minute conversation manually","2026-07-12"
"TA-INT-002","TA-IND-01","2026-09","Production dispatch or accounts user","Same printing subsegment","Compare normal and late or reworked job handoffs","Planned","Not requested","","None","0","0","0","No interview conducted","Proceed only after first conversation and permission","2026-07-12"
"TA-INT-003","TA-IND-02","2026-10","Dispatcher","Local delivery operation","Map planning assignment status and exception decisions","Planned","Not requested","","None","0","0","0","No interview conducted","Identify one service type before contact","2026-07-12"
"TA-INT-004","TA-IND-02","2026-10","Driver or delivery user","Same local delivery operation","Test update burden and failed-delivery evidence","Planned","Not requested","","None","0","0","0","No interview conducted","Ask dispatcher for safe voluntary introduction","2026-07-12"
"TA-INT-005","TA-IND-02","2026-11","Billing or operations user","Same local delivery operation","Measure POD-to-invoice delay and evidence needs","Planned","Not requested","","None","0","0","0","No interview conducted","Use anonymized cases only","2026-07-12"
"TA-INT-006","TA-IND-03","2026-12","Merchandiser","One garment operating model","Map style approvals and readiness gates","Planned","Not requested","","None","0","0","0","No interview conducted","Select export CMT domestic brand or job work first","2026-07-12"
"TA-INT-007","TA-IND-03","2026-12","Store or production user","Same garment operating model","Trace material readiness and line start","Planned","Not requested","","None","0","0","0","No interview conducted","Avoid worker-level performance data","2026-07-12"
"TA-INT-008","TA-IND-03","2027-01","Quality or packing user","Same garment operating model","Compare defect and shipment exception handling","Planned","Not requested","","None","0","0","0","No interview conducted","Request one anonymous order example","2026-07-12"
"TA-INT-009","TA-IND-04","2027-02","Planner or owner","One discrete product family","Map work-order readiness and true constraints","Planned","Not requested","","None","0","0","0","No interview conducted","Name product process and production strategy first","2026-07-12"
"TA-INT-010","TA-IND-04","2027-02","Stores or production user","Same product family","Reconcile material issue hold and queue state","Planned","Not requested","","None","0","0","0","No interview conducted","Use records without customer identifiers","2026-07-12"
"TA-INT-011","TA-IND-04","2027-03","Quality or dispatch user","Comparable manufacturing route","Trace rejection or late-order evidence","Planned","Not requested","","None","0","0","0","No interview conducted","Seek second independent firm only after scope matches","2026-07-12"
"TA-INT-012","TA-IND-05","2027-04","Owner or buyer","One retail product category","Understand effective cost reorder and working capital","Planned","Not requested","","None","0","0","0","No interview conducted","Choose category before interview","2026-07-12"
"TA-INT-013","TA-IND-05","2027-04","Receiver or store user","Same retail category","Test product unit and stock identity","Planned","Not requested","","None","0","0","0","No interview conducted","Request anonymous twenty-SKU trace","2026-07-12"
"TA-INT-014","TA-IND-05","2027-05","Wholesale sales or accounts user","One wholesale category","Trace order partial delivery credit and collection","Planned","Not requested","","None","0","0","0","No interview conducted","Do not retain customer balances or names","2026-07-12"
