company_or_platform,role,location_remote,stipend_or_pay,link,apply_deadline,required_skills,match_score,risk,recommended_resume,project_to_showcase,notes
Internshala,React JS internships,India/remote,varies,https://internshala.com/internships/reactjs-internship/,dynamic,React JavaScript CSS Git,82,medium,Frontend intern resume,Wedding Card Studio or ERP dashboard,Listings change daily; verify before applying
Internshala,Python internships,India/remote,varies,https://internshala.com/internships/python-internship/,dynamic,Python APIs automation,78,medium,Python automation resume,Rental Research Report Generator,Use filters for work from home and stipend
Internshala,Full-stack development internships,India/remote,varies,https://internshala.com/internships/full-stack-development-internship/,dynamic,React Node/Supabase databases,86,medium,Full-stack resume,Printing Press ERP,Best broad match
Internshala,Artificial Intelligence internships,India/remote,varies,https://internshala.com/internships/artificial-intelligence-ai-internship/,dynamic,Python LLM APIs data,72,medium,AI automation resume,Report Generator with AI-assisted workflow,Use only if role is builder-focused
Wellfound,Startup software intern,India/remote,varies,https://wellfound.com/jobs,dynamic,React full-stack startup speed,76,medium,Startup builder resume,ERP plus automation portfolio,Search "intern React India remote"
YC Work at a Startup,Startup intern/junior developer,remote/global,varies,https://www.ycombinator.com/jobs,dynamic,React Python product sense,68,high,Startup product resume,Polished SaaS demo,Competitive but high upside
RemoteOK,Junior React/automation roles,remote,varies,https://remoteok.com/,dynamic,React JS remote communication,60,high,Remote-ready resume,Live deployed dashboard,Mostly experienced roles
Remotive,Junior developer roles,remote,varies,https://remotive.com/remote-jobs/software-dev,dynamic,JS Python remote work,58,high,Remote-ready resume,Dashboard and PDF generator,Use alerts; internships less common
AICTE Internship Portal,Software/data internships,India,varies,https://internship.aicte-india.org/,dynamic,student profile programming,70,medium,Student intern resume,Any clean academic project,Good official route
Unstop,Software internships and hackathons,India/remote,varies,https://unstop.com/internships,dynamic,React Python problem solving,68,medium,Student achievement resume,Hackathon-style dashboard,Also useful for competitions
PM Internship Scheme,Corporate internships,India,government stipend,https://pminternship.mca.gov.in/,cycle-based,student/graduate eligibility,55,medium,General student resume,Portfolio summary,Check eligibility and IT relevance
Puch AI,AI engineering intern,remote India,reported high stipend,https://puch.ai/,unknown,AI product building Python JS,65,high,AI builder resume,AI report generator,Economic Times reported remote AI internships in 2025; verify current status
Emergence India Labs,AI researcher/engineer roles,Bengaluru,not listed,https://www.emergence.ai/,dynamic,AI agents research engineering,45,high,AI research resume,Agentic automation demo,More advanced; long-term target
Google for Startups portfolio companies,Startup intern roles,India,varies,https://startup.google.com/,dynamic,product engineering,50,high,Startup builder resume,SaaS MVP demo,Use portfolio discovery rather than generic application
