"lesson_id","industry_id","lesson_date","lesson_type","evidence_status","original_assumption","current_lesson","decision_effect","needs_real_world_validation","source_or_method","last_verified"
"TA-LES-001","TA-IND-01","2026-07-12","Scope","General pattern","Printing can be treated as one workflow","Commercial print labels cartons corrugated and flexible packaging have materially different estimating converting and compliance paths","Choose one product family before interview or prototype","Yes","Manual comparison and industry institutions","2026-07-12"
"TA-LES-002","TA-IND-01","2026-07-12","Data design","General pattern","A stage board alone is enough","Approved specification artwork version material and quantity identity must precede useful stage status","Begin quote-to-job research at intake not dashboard layout","Yes","Workflow decomposition","2026-07-12"
"TA-LES-003","TA-IND-02","2026-07-12","Outcome","General pattern","Live tracking is the obvious first feature","Specific exceptions POD quality and billing readiness may be more actionable for a small operator","Test exception and POD flow before route optimization or continuous tracking","Yes","Official digital logistics context plus process analysis","2026-07-12"
"TA-LES-004","TA-IND-02","2026-07-12","Safety","General pattern","More driver data always improves operations","Driver updates can add distraction surveillance and adoption risk","Use minimum low-tap safe updates and explicit purpose","Yes","Role and adoption analysis","2026-07-12"
"TA-LES-005","TA-IND-03","2026-07-12","Scope","General pattern","Garment production begins at sewing","Revision sample approval material and cutting gates determine whether sewing can start successfully","Test style readiness before detailed line analytics","Yes","Ministry context and workflow decomposition","2026-07-12"
"TA-LES-006","TA-IND-03","2026-07-12","Ethics","General pattern","Worker-level efficiency should be an early metric","Worker surveillance is high risk and unnecessary for validating order-level coordination","Keep Phase 2 at style order blocker and quality-event level","Yes","Privacy and adoption review","2026-07-12"
"TA-LES-007","TA-IND-04","2026-07-12","Scope","General pattern","SME manufacturing is a single target market","Production strategy product revision and route change the workflow more than firm-size label alone","Name a product family and process before using the manual","Yes","MSME context and operations analysis","2026-07-12"
"TA-LES-008","TA-IND-04","2026-07-12","Implementation","General pattern","An ERP replacement is needed to create value","A readiness or hold worklist may operate beside current records and test evidence with lower risk","Avoid MRP costing and OEE claims in first pilot","Yes","Workflow and adoption analysis","2026-07-12"
"TA-LES-009","TA-IND-05","2026-07-12","Data quality","General pattern","A stock number is sufficient for reorder software","Product identity unit location and transaction timing must reconcile before recommendations are trustworthy","Validate twenty physical SKUs before proposing reorder logic","Yes","GS1 India guidance and workflow analysis","2026-07-12"
"TA-LES-010","TA-IND-05","2026-07-12","Economics","General pattern","Sales growth is the primary retail software outcome","Dead stock stockout shrink discount return credit and working capital can erase gross margin","Ask category-level cash and exception questions without requesting confidential totals","Yes","Retail operations analysis","2026-07-12"
